problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
2,inglesa,15,0.9,"(1, 3)",False,0.7752381,0.16720729,1.0,0.56,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.039952850341796874,0.44782137870788574,0.042307968997277984,0.012795825002941966,0.0
2,inglesa,6,0.9999,"(1, 1)",True,0.84380955,0.10084451,1.0,0.79333335,1.0,0.79333335,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.016266441345214842,0.12293353080749511,0.0549479908269192,0.011544693033415137,0.0
2,inglesa,6,0.9999,"(1, 1)",False,0.84380955,0.10084451,1.0,0.79333335,1.0,0.79333335,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.012111186981201172,0.13894925117492676,0.030662837436058972,0.0021590488737645553,0.0
2,inglesa,10,0.9999,"(1, 2)",True,0.83238095,0.0920613,1.0,0.8933333,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,0.73333335,1.0,0.025220108032226563,0.2974074840545654,0.0776768733262515,0.008040623921223924,0.0
2,inglesa,9,0.9999,"(1, 2)",False,0.84190476,0.101837985,1.0,0.79333335,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.032033014297485354,0.270247220993042,0.03969159271559612,0.020650489619780436,0.0
2,inglesa,2,0.9999,"(1, 3)",True,0.8704762,0.09816456,1.0,0.8933333,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.04062347412109375,0.4055805206298828,0.058770902742770914,0.012818286727107395,0.0
2,inglesa,11,0.9999,"(1, 3)",False,0.81333333,0.12323677,1.0,0.6933333,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.04102005958557129,0.36322841644287107,0.027863210352100366,0.019223888798215637,0.0
3,francesa,20,0.1,"(1, 1)",True,0.28059524,0.03720968,0.68418795,0.28857142,0.52940613,0.29261905,0.69998556,0.275,0.72431344,0.19761905,0.7902814,0.32916668,0.676953,0.052304315567016604,0.38992919921875,0.05336298633986071,0.02146903654803816,0.08616865825008964
3,francesa,19,0.1,"(1, 1)",False,0.28166667,0.068722755,0.7412258,0.22416666,0.6798593,0.26166666,0.75064933,0.275,0.7350361,0.28333333,0.82254,0.44166666,0.71804416,0.04396142959594727,0.36419124603271485,0.010667414792299863,0.014230376672277263,0.04699434570348581
3,francesa,21,0.1,"(1, 2)",True,0.25701815,0.11139055,0.77545726,0.20039682,0.70558274,0.16875,0.77102816,0.45,0.7966833,0.19833334,0.85444224,0.4125,0.74954987,0.09970769882202149,1.3117788791656495,0.3995912322606687,0.028496878993442023,0.04952257234462243
3,francesa,24,0.1,"(1, 2)",False,0.1928355,0.1159266,0.80536634,0.13958333,0.6545707,0.068674244,0.804228,0.325,0.87327504,0.21666667,0.8995338,0.39166668,0.79522425,0.10089459419250488,1.320971393585205,0.3255357835348475,0.024456351119620447,0.08523213688274951
3,francesa,22,0.1,"(1, 3)",True,0.22224142,0.086543374,0.78952587,0.166337,0.6789647,0.16984127,0.7748918,0.375,0.8332051,0.16666667,0.898683,0.34166667,0.7618848,0.156721830368042,2.3938750267028808,0.34134785870893175,0.053190200762574594,0.07351887336788306
3,francesa,23,0.1,"(1, 3)",False,0.19905895,0.089967415,0.7969759,0.15277778,0.6970563,0.12142857,0.76992786,0.33666667,0.831357,0.16666667,0.89063436,0.34166667,0.7959041,0.1922611713409424,2.2378483772277833,0.311699522458034,0.07533421958079094,0.06429719033113089
3,francesa,13,0.5,"(1, 1)",True,0.62482995,0.17331417,1.0,0.62666667,1.0,0.49190477,1.0,0.8,1.0,0.40333334,1.0,0.93333334,1.0,0.04560341835021973,0.38118419647216795,0.10462276409986626,0.012718357699565731,0.0
3,francesa,17,0.5,"(1, 1)",False,0.5279252,0.10114463,1.0,0.5516667,1.0,0.5069048,1.0,0.575,1.0,0.32,1.0,0.68333334,1.0,0.04579119682312012,0.4008791923522949,0.11546505979318636,0.013859430736949802,0.0
3,francesa,15,0.5,"(1, 2)",True,0.60816324,0.1174649,1.0,0.66690475,1.0,0.5933333,1.0,0.55,1.0,0.38666666,1.0,0.8,1.0,0.11135859489440918,1.2764756202697753,0.2246428086574544,0.02801297863071579,0.0
3,francesa,16,0.5,"(1, 2)",False,0.58534014,0.14165142,1.0,0.6085714,1.0,0.502619,1.0,0.6333333,1.0,0.375,1.0,0.8666667,1.0,0.10345382690429687,1.3774819374084473,0.386601524326395,0.028209975503569847,0.0
3,francesa,14,0.5,"(1, 3)",True,0.6195578,0.13994332,1.0,0.715,1.0,0.53261906,1.0,0.55,1.0,0.425,1.0,0.8666667,1.0,0.1822822093963623,2.197118806838989,0.2082184589972159,0.05653906904838949,0.0
3,francesa,18,0.5,"(1, 3)",False,0.499128,0.13722302,1.0,0.5092857,1.0,0.38599566,1.0,0.6333333,1.0,0.32833335,1.0,0.7416667,1.0,0.17632441520690917,2.2257469654083253,0.20901225035952534,0.06306185214912738,0.0
3,francesa,10,0.9,"(1, 1)",True,0.63792515,0.12789002,1.0,0.71190476,1.0,0.55,1.0,0.73333335,1.0,0.40833333,1.0,0.8,1.0,0.04518361091613769,0.37931241989135744,0.08397473938533433,0.014135631074972099,0.0
3,francesa,9,0.9,"(1, 1)",False,0.6388095,0.10206096,1.0,0.65166664,1.0,0.5883333,1.0,0.8,1.0,0.45833334,1.0,0.73333335,1.0,0.05272359848022461,0.39139580726623535,0.0852240602106872,0.01428112095097645,0.0
3,francesa,2,0.9,"(1, 2)",True,0.6881633,0.14194126,1.0,0.7302381,1.0,0.70166665,1.0,0.8,1.0,0.35333332,1.0,0.8,1.0,0.11021285057067871,1.2933402061462402,0.1950813132828315,0.031349028392861224,0.0
3,francesa,8,0.9,"(1, 2)",False,0.64384353,0.13682398,1.0,0.6759524,1.0,0.58166665,1.0,0.73333335,1.0,0.39166668,1.0,0.8666667,1.0,0.1532681941986084,1.5103995323181152,0.08366007895663716,0.08755259612183713,0.0
3,francesa,5,0.9,"(1, 3)",True,0.6687075,0.12373558,1.0,0.7335714,1.0,0.6319048,1.0,0.75,1.0,0.4,1.0,0.8,1.0,0.1890632152557373,2.4624701499938966,0.4885854646782248,0.0559993113995394,0.0
3,francesa,11,0.9,"(1, 3)",False,0.627483,0.1241272,1.0,0.6666667,1.0,0.5378571,1.0,0.80833334,1.0,0.425,1.0,0.75,1.0,0.17393722534179687,2.3347929954528808,0.16467288928199886,0.05668404209818328,0.0
