problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,59,0.5,"(2, 3)",False,l1,0.58779377,0.018011488,1.0,0.5835822,1.0,0.567619,1.0,0.6142857,1.0,0.7013310591379801,1.7378960450490315,0.18600475135778075,0.12510703768022496,0.0
1,inglesa,45,0.5,"(2, 3)",True,l2,0.6978231,0.06310991,1.0,0.75849205,1.0,0.6060714,1.0,0.69857144,1.0,0.6715920766194662,1.6728452841440837,0.21537528157687727,0.14930173281055537,0.0
1,inglesa,62,0.5,"(2, 3)",False,l2,0.53015304,0.04547827,1.0,0.5505952,1.0,0.45940477,1.0,0.5702381,1.0,0.6968699296315511,1.702631155649821,0.24845104445011634,0.14746215330594187,0.0
1,inglesa,26,0.5,"(2, 4)",True,l1,0.7840476,0.025352392,1.0,0.755,1.0,0.81,1.0,0.8016667,1.0,1.208471695582072,3.6669743855794272,0.5388137186618832,0.20152627295283063,0.0
1,inglesa,53,0.5,"(2, 4)",False,l1,0.6335034,0.02169518,1.0,0.65617216,1.0,0.6042857,1.0,0.62871796,1.0,1.2027682463328044,3.730778376261393,0.4750488802436335,0.2112224662481896,0.0
1,inglesa,39,0.5,"(2, 4)",True,l2,0.72920066,0.022463998,1.0,0.73702383,1.0,0.695,1.0,0.75166667,1.0,1.275650421778361,3.553846836090088,0.5274597823101178,0.2498975173510743,0.0
1,inglesa,72,0.5,"(2, 4)",False,l2,0.4158228,0.04911927,1.0,0.472442,1.0,0.37719297,1.0,0.36952382,1.0,1.2519563833872478,3.7901062965393066,0.6020418064243803,0.2662514240064919,0.0
1,inglesa,24,0.5,"(2, 5)",True,l1,0.78814626,0.023199748,1.0,0.7677381,1.0,0.8233333,1.0,0.7835714,1.0,2.118647734324137,7.589326620101929,1.6925623915723584,0.461007373654829,0.0
1,inglesa,46,0.5,"(2, 5)",False,l1,0.6903231,0.052766148,1.0,0.63170636,1.0,0.75333333,1.0,0.7152381,1.0,2.1283525625864663,7.624651670455933,0.7100239940787598,0.371655859181347,0.0
1,inglesa,44,0.5,"(2, 5)",True,l2,0.7067007,0.04728273,1.0,0.6521429,1.0,0.75,1.0,0.74523807,1.0,1.9621626536051433,7.852721373240153,1.347685374077211,0.37204981735668313,0.0
1,inglesa,76,0.5,"(2, 5)",False,l2,0.34652954,0.04772955,1.0,0.40121847,1.0,0.31333333,1.0,0.2976923,1.0,1.9687110582987468,8.218551953633627,1.1684357674195407,0.2956111156463866,0.0
1,inglesa,23,0.5,"(3, 5)",True,l1,0.7896939,0.040112555,1.0,0.75357145,1.0,0.85,1.0,0.7835714,1.0,1.5834956963857014,6.779892683029175,1.1419095720046701,0.3567431405134411,0.0
1,inglesa,48,0.5,"(3, 5)",False,l1,0.67039114,0.0668588,1.0,0.60392857,1.0,0.7652381,1.0,0.6752381,1.0,1.5972176392873128,6.877177715301514,0.7942972379969813,0.122231588477386,0.0
1,inglesa,40,0.5,"(3, 5)",True,l2,0.7239286,0.077341065,1.0,0.6367857,1.0,0.81166667,1.0,0.7669048,1.0,1.648518959681193,7.026604970296224,1.044999992641112,0.28157099214693376,0.0
1,inglesa,78,0.5,"(3, 5)",False,l2,0.3198324,0.028028343,1.0,0.34843138,1.0,0.31574073,1.0,0.28102565,1.0,1.535556713740031,7.053260962168376,0.9242447620550666,0.29768133932171115,0.0
1,inglesa,35,0.75,"(2, 3)",True,l1,0.7427211,0.04685749,1.0,0.69857144,1.0,0.74,1.0,0.81166667,1.0,0.7306640148162842,1.8979786237080891,0.1807016339325375,0.18776328487747554,0.0
1,inglesa,52,0.75,"(2, 3)",False,l1,0.6402551,0.049594298,1.0,0.5882143,1.0,0.70666665,1.0,0.65190476,1.0,0.6908723513285319,1.684444268544515,0.19657500338824485,0.129514206671471,0.0
1,inglesa,36,0.75,"(2, 3)",True,l2,0.7355272,0.02190632,1.0,0.71178573,1.0,0.74333334,1.0,0.7633333,1.0,0.6630333264668783,1.6110256512959797,0.2345877968928206,0.1303037755557188,0.0
1,inglesa,57,0.75,"(2, 3)",False,l2,0.5916553,0.025041059,1.0,0.60960317,1.0,0.6041667,1.0,0.55222225,1.0,0.6753366788228353,1.6832462946573894,0.21411928232905464,0.13704178655743807,0.0
1,inglesa,20,0.75,"(2, 4)",True,l1,0.79209185,0.0249477,1.0,0.76488096,1.0,0.8233333,1.0,0.8016667,1.0,1.2714414596557617,4.143842617670695,0.9102715390813778,0.29297374217941446,0.0
1,inglesa,37,0.75,"(2, 4)",False,l1,0.73438776,0.075508624,1.0,0.65119046,1.0,0.82666665,1.0,0.7669048,1.0,1.1670676867167156,3.7168760299682617,0.12704734288138192,0.23704530499672724,0.0
1,inglesa,29,0.75,"(2, 4)",True,l2,0.7735204,0.045748677,1.0,0.7215476,1.0,0.8233333,1.0,0.8016667,1.0,1.1510806878407795,3.3406965732574463,0.44605346034686677,0.2537139735524548,0.0
1,inglesa,56,0.75,"(2, 4)",False,l2,0.6001608,0.008610155,1.0,0.5904762,1.0,0.61,1.0,0.6048485,1.0,1.6109896500905354,3.83744223912557,1.0051853481105228,0.08067746722972377,0.0
1,inglesa,22,0.75,"(2, 5)",True,l1,0.7905272,0.044673927,1.0,0.74345237,1.0,0.85,1.0,0.8016667,1.0,2.2702763080596924,8.559182246526083,1.1762707882613213,0.14909432815235552,0.0
1,inglesa,31,0.75,"(2, 5)",False,l1,0.7672279,0.05206583,1.0,0.70797616,1.0,0.8233333,1.0,0.8,1.0,2.3885892232259116,9.079491376876831,1.1863453904938948,0.4259026891554412,0.0
1,inglesa,28,0.75,"(2, 5)",True,l2,0.78117347,0.037088167,1.0,0.73940474,1.0,0.8233333,1.0,0.8016667,1.0,2.13802433013916,8.380306641260782,1.1074297635311916,0.4439806731850673,0.0
1,inglesa,55,0.75,"(2, 5)",False,l2,0.6039505,0.01313449,1.0,0.5887897,1.0,0.61579365,1.0,0.6148485,1.0,2.0734833081563315,8.035498062769571,1.4168921784246786,0.6319320688310225,0.0
1,inglesa,19,0.75,"(3, 5)",True,l1,0.792568,0.04253435,1.0,0.7482143,1.0,0.85,1.0,0.8016667,1.0,1.5832533836364746,6.4928613503774,1.3392590098504225,0.24985634901705295,0.0
1,inglesa,32,0.75,"(3, 5)",False,l1,0.7596599,0.052017733,1.0,0.70238096,1.0,0.8233333,1.0,0.78190476,1.0,1.548732042312622,7.767442226409912,0.6666746055625627,0.1969872461521474,0.0
1,inglesa,34,0.75,"(3, 5)",True,l2,0.7478401,0.050176777,1.0,0.7027381,1.0,0.8233333,1.0,0.74,1.0,1.4813743432362874,6.709873676300049,0.6122100275754777,0.28252439779727023,0.0
1,inglesa,64,0.75,"(3, 5)",False,l2,0.4936281,0.07610785,1.0,0.58047616,1.0,0.4438889,1.0,0.41309524,1.0,1.417310317357381,6.471116701761882,1.110543290070065,0.22210128083802347,0.0
1,inglesa,30,0.9,"(2, 3)",True,l1,0.77265304,0.021886056,1.0,0.7495238,1.0,0.8016667,1.0,0.7783333,1.0,0.6728716691335043,1.7723376750946045,0.16379788510909798,0.1583673800237756,0.0
1,inglesa,50,0.9,"(2, 3)",False,l1,0.6682313,0.044845145,1.0,0.62031746,1.0,0.6816667,1.0,0.7266667,1.0,0.6408456166585287,1.5178803602854412,0.12316165212552982,0.10409692294442385,0.0
