problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,54,0.5,"(2, 4)",True,l2,0.46928573,0.042490494,0.8426409,0.5283333,0.9089394,0.45,0.87713593,0.4,0.79676074,0.45833334,0.87477523,0.47,0.755593,0.5048521995544434,2.177376222610474,0.2066365585848464,0.1781357884881416,0.05709699536931499
1,inglesa,62,0.5,"(2, 4)",False,l2,0.37816328,0.076728486,0.7909378,0.40833333,0.78380257,0.2777381,0.79919916,0.5,0.8212121,0.34166667,0.78602004,0.43333334,0.76445496,0.5064548015594482,2.1328591823577883,0.23612428386844783,0.18036072662637337,0.018768167776080584
1,inglesa,52,0.5,"(2, 5)",True,l1,0.48363945,0.09339056,0.9242632,0.60261905,0.9491162,0.3942857,0.94896466,0.45,0.90175325,0.38333333,0.90529305,0.55833334,0.91618884,0.6684344291687012,2.812648630142212,0.275872715020345,0.23306718210077093,0.020782645970574942
1,inglesa,56,0.5,"(2, 5)",False,l1,0.43115646,0.09790082,0.86412776,0.38880953,0.8431946,0.3452381,0.87987566,0.59166664,0.87500167,0.38333333,0.88490677,0.575,0.83766013,0.6777939796447754,2.756405210494995,0.21901780042533317,0.23351820974774493,0.019681156519472925
1,inglesa,45,0.5,"(2, 5)",True,l2,0.5093197,0.06133403,0.9076795,0.58285713,0.94063133,0.48309523,0.95169383,0.51666665,0.9058408,0.39166668,0.89517814,0.525,0.84505326,0.6719691276550293,2.786321496963501,0.23670396364743695,0.2452967395522168,0.03769560662409212
1,inglesa,58,0.5,"(2, 5)",False,l2,0.41581634,0.084080026,0.85083663,0.36190477,0.8531946,0.34761906,0.8690676,0.53333336,0.86668164,0.4,0.8352714,0.55833334,0.8299678,0.6729055881500244,2.7741275787353517,0.24866644989962403,0.23162732118525672,0.015917142144201986
1,inglesa,53,0.5,"(3, 5)",True,l1,0.47316328,0.097115904,0.92620605,0.5292857,0.9397727,0.35595238,0.92747474,0.55,0.9338745,0.38333333,0.92359143,0.60833335,0.906317,0.5201980590820312,2.1513964176177978,0.18965604815259732,0.18859117160572497,0.011374346844603181
1,inglesa,59,0.5,"(3, 5)",False,l1,0.41204083,0.10021792,0.8603363,0.3554762,0.83261186,0.32833335,0.8671465,0.59166664,0.8822544,0.38333333,0.871655,0.5416667,0.84801364,0.5129733562469483,2.1666565895080567,0.21310939813759008,0.18343713768639,0.01775043065135485
1,inglesa,48,0.5,"(3, 5)",True,l2,0.49952382,0.05982793,0.9135227,0.52047616,0.9412626,0.46952382,0.95035356,0.525,0.9047819,0.39166668,0.8894073,0.6,0.8818082,0.5154563426971436,2.1490310192108155,0.1890546019075233,0.1780445587682148,0.027531001788538966
1,inglesa,60,0.5,"(3, 5)",False,l2,0.40561223,0.110634774,0.84990174,0.3554762,0.8341037,0.32666665,0.8690676,0.5833333,0.8589993,0.31666666,0.8648152,0.575,0.82252276,0.5138931751251221,2.146570014953613,0.21284716304192228,0.17239257294207241,0.01828493867135203
1,inglesa,27,0.75,"(2, 3)",True,l1,0.55727893,0.08823925,0.9623542,0.5719048,0.9604545,0.5535714,0.9510101,0.6,0.9577406,0.36666667,0.9754329,0.68333334,0.96713287,0.3562957763671875,1.523513412475586,0.14497767812342835,0.12316834238547172,0.008336314603096947
1,inglesa,36,0.75,"(2, 3)",False,l1,0.52380955,0.06756957,0.876469,0.54,0.88507575,0.535,0.8858333,0.55,0.86857265,0.36666667,0.90651643,0.6,0.836347,0.3573197364807129,1.4989952087402343,0.11374527048463169,0.12215594554208797,0.023395480932634927
1,inglesa,22,0.75,"(2, 3)",True,l2,0.59367347,0.14081298,0.94380397,0.5995238,0.96035355,0.55333334,0.95045453,0.6333333,0.94052446,0.35,0.9577406,0.8666667,0.90994674,0.3490044116973877,1.5312647819519043,0.1782604050114624,0.1174791509121658,0.018272472114447998
1,inglesa,41,0.75,"(2, 3)",False,l2,0.5145238,0.05679058,0.8635706,0.48166665,0.8771393,0.5233333,0.8765909,0.5833333,0.8532505,0.41666666,0.898904,0.59166664,0.811968,0.346150541305542,1.5023411750793456,0.17397187792776503,0.12062629056096823,0.0295682870106924
1,inglesa,16,0.75,"(2, 4)",True,l1,0.61656463,0.111946136,1.0,0.6402381,1.0,0.5802381,1.0,0.675,1.0,0.4,1.0,0.8,1.0,0.5150634288787842,2.1304453372955323,0.18827460922481878,0.17864546005634105,0.0
1,inglesa,47,0.75,"(2, 4)",False,l1,0.5017347,0.070117414,0.9482226,0.5183333,0.93810606,0.44190475,0.94150156,0.5083333,0.95879954,0.43333334,0.9594988,0.65,0.9432068,0.50762038230896,2.1408191680908204,0.20812198298859838,0.18517896353066485,0.009074140614642602
1,inglesa,2,0.75,"(2, 4)",True,l2,0.6498299,0.13369568,1.0,0.6002381,1.0,0.7266667,1.0,0.625,1.0,0.40333334,1.0,0.8666667,1.0,0.5218656539916993,2.1298027515411375,0.24807605107878222,0.1977216319763437,0.0
1,inglesa,49,0.75,"(2, 4)",False,l2,0.4970408,0.081228204,0.93706816,0.5252381,0.9287626,0.45190477,0.9289141,0.5083333,0.9420163,0.36666667,0.9603896,0.65,0.9252581,0.5139850616455078,2.1101468086242674,0.17619395647210243,0.18584886082844534,0.012987088338081324
